Temps: 325156.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -93.30 °, Vent: 330.21 °, 2.68 m/s, Rudder: 2 °, Sail: 0 °, Control: AUTO
Temps: 325237.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -92.10 °, Vent: 330.21 °, 2.68 m/s, Rudder: 7 °, Sail: 0 °, Control: AUTO
Temps: 325317.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -91.40 °, Vent: 330.21 °, 2.68 m/s, Rudder: 9 °, Sail: 0 °, Control: AUTO
Temps: 325419.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -91.50 °, Vent: 330.21 °, 2.68 m/s, Rudder: 10 °, Sail: 0 °, Control: AUTO
Temps: 325499.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -92.10 °, Vent: 330.21 °, 2.68 m/s, Rudder: 10 °, Sail: 0 °, Control: AUTO
Temps: 325626.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -92.80 °, Vent: 330.21 °, 2.68 m/s, Rudder: 9 °, Sail: 0 °, Control: AUTO
Temps: 325741.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -93.80 °, Vent: 330.21 °, 2.68 m/s, Rudder: 8 °, Sail: 0 °, Control: AUTO
Temps: 325822.00 s, Lat: 52.429283 °, Lon: -1.946132 °, Cap: -94.20 °, Vent: 330.21 °, 2.68 m/s, Rudder: 6 °, Sail: 0 °, Control: AUTO
Temps: 325903.00 s, Lat: 52.429283 °, Lon: -1.946132 °, Cap: -94.50 °, Vent: 330.21 °, 2.68 m/s, Rudder: 7 °, Sail: 0 °, Control: AUTO
Temps: 325984.00 s, Lat: 52.429283 °, Lon: -1.946132 °, Cap: -95.10 °, Vent: 330.21 °, 2.68 m/s, Rudder: 7 °, Sail: 0 °, Control: AUTO
Temps: 326084.00 s, Lat: 52.429283 °, Lon: -1.946132 °, Cap: -95.90 °, Vent: 330.21 °, 2.68 m/s, Rudder: 5 °, Sail: 0 °, Control: AUTO
Temps: 326212.00 s, Lat: 52.429283 °, Lon: -1.946132 °, Cap: -96.60 °, Vent: 330.21 °, 2.68 m/s, Rudder: 4 °, Sail: 0 °, Control: AUTO
Temps: 326327.00 s, Lat: 52.429283 °, Lon: -1.946132 °, Cap: -97.30 °, Vent: 330.21 °, 2.68 m/s, Rudder: 2 °, Sail: 0 °, Control: AUTO
Temps: 326408.00 s, Lat: 52.429283 °, Lon: -1.946132 °, Cap: -97.30 °, Vent: 330.21 °, 2.68 m/s, Rudder: 1 °, Sail: 0 °, Control: AUTO
Temps: 326508.00 s, Lat: 52.429283 °, Lon: -1.946132 °, Cap: -97.10 °, Vent: 330.21 °, 2.68 m/s, Rudder: 1 °, Sail: 0 °, Control: AUTO
Temps: 326589.00 s, Lat: 52.429283 °, Lon: -1.946132 °, Cap: -96.90 °, Vent: 330.21 °, 2.68 m/s, Rudder: 1 °, Sail: 0 °, Control: AUTO
Temps: 326670.00 s, Lat: 52.429283 °, Lon: -1.946132 °, Cap: -96.60 °, Vent: 330.21 °, 2.68 m/s, Rudder: 2 °, Sail: 0 °, Control: AUTO
Temps: 326817.00 s, Lat: 52.429283 °, Lon: -1.946142 °, Cap: -96.30 °, Vent: 330.21 °, 2.68 m/s, Rudder: 2 °, Sail: 0 °, Control: AUTO
Temps: 326932.00 s, Lat: 52.429283 °, Lon: -1.946142 °, Cap: -96.00 °, Vent: 330.21 °, 2.68 m/s, Rudder: 3 °, Sail: 0 °, Control: AUTO
Temps: 327013.00 s, Lat: 52.429283 °, Lon: -1.946142 °, Cap: -95.40 °, Vent: 342.78 °, 2.24 m/s, Rudder: 4 °, Sail: 0 °, Control: AUTO
Temps: 327094.00 s, Lat: 52.429283 °, Lon: -1.946142 °, Cap: -95.00 °, Vent: 342.78 °, 2.24 m/s, Rudder: 5 °, Sail: 0 °, Control: AUTO
Temps: 327195.00 s, Lat: 52.429283 °, Lon: -1.946142 °, Cap: -94.70 °, Vent: 342.78 °, 2.24 m/s, Rudder: 6 °, Sail: 0 °, Control: AUTO
Temps: 327275.00 s, Lat: 52.429283 °, Lon: -1.946142 °, Cap: -94.70 °, Vent: 342.78 °, 2.24 m/s, Rudder: 7 °, Sail: 0 °, Control: AUTO
Temps: 327403.00 s, Lat: 52.429283 °, Lon: -1.946142 °, Cap: -94.90 °, Vent: 342.78 °, 2.24 m/s, Rudder: 7 °, Sail: 0 °, Control: AUTO
Temps: 327518.00 s, Lat: 52.429283 °, Lon: -1.946142 °, Cap: -95.30 °, Vent: 342.78 °, 2.24 m/s, Rudder: 6 °, Sail: 0 °, Control: AUTO
Temps: 327599.00 s, Lat: 52.429283 °, Lon: -1.946142 °, Cap: -95.40 °, Vent: 342.78 °, 2.24 m/s, Rudder: 5 °, Sail: 0 °, Control: AUTO
Temps: 327699.00 s, Lat: 52.429283 °, Lon: -1.946142 °, Cap: -95.30 °, Vent: 342.78 °, 2.24 m/s, Rudder: 5 °, Sail: 0 °, Control: AUTO
Temps: 327780.00 s, Lat: 52.429283 °, Lon: -1.946142 °, Cap: -95.40 °, Vent: 342.78 °, 2.24 m/s, Rudder: 5 °, Sail: 0 °, Control: AUTO
Temps: 327881.00 s, Lat: 52.429283 °, Lon: -1.946142 °, Cap: -95.70 °, Vent: 342.78 °, 2.24 m/s, Rudder: 5 °, Sail: 0 °, Control: AUTO
Temps: 328008.00 s, Lat: 52.429283 °, Lon: -1.946142 °, Cap: -96.00 °, Vent: 342.78 °, 2.24 m/s, Rudder: 5 °, Sail: 0 °, Control: AUTO
Temps: 328123.00 s, Lat: 52.429283 °, Lon: -1.946142 °, Cap: -96.40 °, Vent: 342.78 °, 2.24 m/s, Rudder: 4 °, Sail: 0 °, Control: AUTO
Temps: 328204.00 s, Lat: 52.429283 °, Lon: -1.946142 °, Cap: -96.40 °, Vent: 342.78 °, 2.24 m/s, Rudder: 3 °, Sail: 0 °, Control: AUTO
Temps: 328305.00 s, Lat: 52.429283 °, Lon: -1.946142 °, Cap: -96.40 °, Vent: 342.78 °, 2.24 m/s, Rudder: 3 °, Sail: 0 °, Control: AUTO
Temps: 328386.00 s, Lat: 52.429283 °, Lon: -1.946142 °, Cap: -96.70 °, Vent: 342.78 °, 2.24 m/s, Rudder: 3 °, Sail: 0 °, Control: AUTO
Temps: 328466.00 s, Lat: 52.429283 °, Lon: -1.946142 °, Cap: -97.00 °, Vent: 342.78 °, 2.24 m/s, Rudder: 3 °, Sail: 0 °, Control: AUTO
Temps: 328620.00 s, Lat: 52.429283 °, Lon: -1.946142 °, Cap: -97.30 °, Vent: 342.78 °, 2.24 m/s, Rudder: 2 °, Sail: 0 °, Control: AUTO
Temps: 328729.00 s, Lat: 52.429283 °, Lon: -1.946142 °, Cap: -97.10 °, Vent: 342.78 °, 2.24 m/s, Rudder: 1 °, Sail: 0 °, Control: AUTO
Temps: 328810.00 s, Lat: 52.429275 °, Lon: -1.946157 °, Cap: -97.10 °, Vent: 342.78 °, 2.24 m/s, Rudder: 2 °, Sail: 0 °, Control: AUTO
Temps: 328890.00 s, Lat: 52.429275 °, Lon: -1.946157 °, Cap: -97.10 °, Vent: 342.78 °, 2.24 m/s, Rudder: 0 °, Sail: 0 °, Control: AUTO
Temps: 328991.00 s, Lat: 52.429275 °, Lon: -1.946157 °, Cap: -96.90 °, Vent: 342.78 °, 2.24 m/s, Rudder: 0 °, Sail: 0 °, Control: AUTO
Temps: 329072.00 s, Lat: 52.429275 °, Lon: -1.946157 °, Cap: -96.70 °, Vent: 342.78 °, 2.24 m/s, Rudder: 0 °, Sail: 0 °, Control: AUTO
Temps: 329199.00 s, Lat: 52.429275 °, Lon: -1.946157 °, Cap: -96.50 °, Vent: 342.78 °, 2.24 m/s, Rudder: 1 °, Sail: 0 °, Control: AUTO
Temps: 329314.00 s, Lat: 52.429275 °, Lon: -1.946157 °, Cap: -96.10 °, Vent: 348.67 °, 1.79 m/s, Rudder: 1 °, Sail: 0 °, Control: AUTO
Temps: 329395.00 s, Lat: 52.429275 °, Lon: -1.946157 °, Cap: -95.20 °, Vent: 348.67 °, 1.79 m/s, Rudder: 30 °, Sail: 0 °, Control: AUTO
Temps: 329476.00 s, Lat: 52.429275 °, Lon: -1.946157 °, Cap: -94.60 °, Vent: 348.67 °, 1.79 m/s, Rudder: 30 °, Sail: 0 °, Control: AUTO
Temps: 329556.00 s, Lat: 52.429275 °, Lon: -1.946157 °, Cap: -94.60 °, Vent: 348.67 °, 1.79 m/s, Rudder: 30 °, Sail: 0 °, Control: AUTO
Temps: 329657.00 s, Lat: 52.429275 °, Lon: -1.946157 °, Cap: -95.60 °, Vent: 348.67 °, 1.79 m/s, Rudder: 30 °, Sail: 0 °, Control: AUTO
Temps: 329785.00 s, Lat: 52.429275 °, Lon: -1.946157 °, Cap: -97.10 °, Vent: 348.67 °, 1.79 m/s, Rudder: 30 °, Sail: 0 °, Control: AUTO
Temps: 329900.00 s, Lat: 52.429275 °, Lon: -1.946157 °, Cap: -100.20 °, Vent: 348.67 °, 1.79 m/s, Rudder: 30 °, Sail: 0 °, Control: AUTO
Temps: 329980.00 s, Lat: 52.429275 °, Lon: -1.946157 °, Cap: -102.70 °, Vent: 348.67 °, 1.79 m/s, Rudder: 30 °, Sail: 0 °, Control: AUTO
Temps: 330081.00 s, Lat: 52.429275 °, Lon: -1.946157 °, Cap: -105.60 °, Vent: 348.67 °, 1.79 m/s, Rudder: 30 °, Sail: 0 °, Control: AUTO
Temps: 330162.00 s, Lat: 52.429275 °, Lon: -1.946157 °, Cap: -107.80 °, Vent: 348.67 °, 1.79 m/s, Rudder: 30 °, Sail: 0 °, Control: AUTO
