Time,Latitude,Longitude,Heading,WindSpeed,WindDirection,RudderAngle,SailAngle
18:28:34,0.000000,0.000000,323.50,0.00,75,90,90
18:28:35,0.000000,0.000000,331.60,0.00,57,90,90
18:28:36,0.000000,0.000000,18.80,0.00,103,90,90
18:28:37,0.000000,0.000000,47.30,0.00,180,90,90
18:28:39,0.000000,0.000000,44.50,0.00,178,90,90
18:28:40,0.000000,0.000000,9.90,0.00,79,90,90
18:28:41,0.000000,0.000000,15.90,0.00,63,90,90
18:28:42,0.000000,0.000000,21.10,0.00,169,90,90
18:28:44,0.000000,0.000000,21.30,0.00,170,90,90
18:28:45,0.000000,0.000000,21.40,0.00,72,90,90
18:28:46,0.000000,0.000000,21.40,0.00,63,90,90
18:28:47,0.000000,0.000000,21.40,0.00,110,90,90
18:28:49,0.000000,0.000000,21.40,0.00,173,90,90
18:28:50,0.000000,0.000000,21.40,0.00,163,90,90
18:28:51,0.000000,0.000000,21.40,0.00,69,90,90
18:28:52,0.000000,0.000000,21.40,0.00,62,90,90
18:28:54,0.000000,0.000000,21.40,0.00,168,90,90
19:05:44,0.000000,0.000000,79.30,0.00,88,90,90
19:05:46,0.000000,0.000000,79.30,0.00,88,90,90
19:05:47,0.000000,0.000000,79.30,0.00,88,90,90
19:05:48,0.000000,0.000000,79.30,0.00,88,90,90
19:05:49,0.000000,0.000000,79.30,0.00,88,90,90
19:05:51,0.000000,0.000000,79.30,0.00,90,90,90
19:05:52,0.000000,0.000000,79.30,0.00,163,90,90
19:05:53,0.000000,0.000000,79.30,0.00,261,90,90
19:05:54,0.000000,0.000000,79.30,0.00,157,90,90
19:05:56,0.000000,0.000000,79.30,0.00,48,90,90
19:05:57,0.000000,0.000000,79.30,0.00,116,90,90
19:05:58,0.000000,0.000000,79.30,0.00,250,90,90
19:06:00,0.000000,0.000000,79.30,0.00,355,90,90
19:06:01,0.000000,0.000000,79.30,0.00,223,90,90
19:06:02,0.000000,0.000000,79.30,0.00,150,90,90
19:06:03,0.000000,0.000000,79.30,0.00,261,90,90
19:06:04,0.000000,0.000000,79.30,0.00,249,90,90
19:06:06,0.000000,0.000000,79.30,0.00,172,90,90
19:06:07,0.000000,0.000000,79.30,0.00,199,90,90
00:00:00,0.000000,0.000000,79.30,0.00,171,90,90
19:06:18,0.000000,0.000000,79.30,0.00,131,90,90
19:06:19,0.000000,0.000000,79.30,0.00,119,90,90
19:06:20,0.000000,0.000000,79.30,0.00,261,90,90
19:06:22,0.000000,0.000000,79.30,0.00,1,90,90
19:06:23,0.000000,0.000000,79.30,0.00,53,90,90
19:06:24,0.000000,0.000000,79.30,0.00,77,90,90
19:06:25,0.000000,0.000000,79.30,0.00,320,90,90
